Var1,Estimated R0
"Albania",2.6392438296228
"Algeria",2.87259286703695
"Andorra",2.06315192571738
"Antigua and Barbuda",2.74246531796702
"Argentina",2.33336328914793
"Armenia",2.45053336131374
"Australia",2.1976381780962
"Austria",2.29422438674327
"Azerbaijan",2.92171938841874
"The Bahamas",2.92470336606744
"Bahrain",2.67145014980921
"Bangladesh",3.08737252767502
"Belarus",2.13798954692395
"Belgium",1.95360590473958
"Belize",3.4792048231777
"Benin",3.85187643934915
"Bhutan",2.84079406728571
"Bolivia",2.96119530160872
"Bosnia and Herzegovina",2.38679631869938
"Botswana",3.13754183238209
"Brazil",2.79476146442042
"Brunei",2.69042337036377
"Bulgaria",1.91691277307898
"Burkina Faso",3.78163112418847
"Cabo Verde",3.79579584514834
"Cambodia",3.69852827016634
"Cameroon",3.58777865707848
"Canada",2.17462126364845
"Chile",2.32252707588264
"China",2.4
"Colombia",2.67964797735312
"Republic of the Congo",2.99294365959242
"Costa Rica",2.68070224731466
"Croatia",1.95132574152917
"Cyprus",2.24482955571374
"Czech Republic",2.13699341882914
"Denmark",2.13511874006272
"Dominican Republic",2.70268801758552
"Ecuador",2.78963207842409
"Egypt",3.16894958113133
"El Salvador",3.09667889054806
"Estonia",2.02305391770602
"Ethiopia",4.0176740935577
"Fiji",2.80597267924766
"Finland",1.96653450371977
"France",2.01366781143867
"Georgia",2.24926801817943
"Germany",1.2203390393732
"Ghana",3.00596933358247
"Greece",1.99365744812439
"Guatemala",3.5778824684064
"Guinea",3.63463973971906
"Guyana",3.11537946040423
"Haiti",2.96874724192846
"Honduras",3.22051533962201
"Hong Kong SAR, China",2.29287065111612
"Hungary",1.96537348181422
"Iceland",2.37629367700758
"India",2.7814229147105
"Indonesia",2.67974689747882
"Iran",2.58536563750913
"Iraq",3.60597338102758
"Ireland",2.12833340294964
"Israel",2.17530260800718
"Italy",2.44302368680949
"Jamaica",2.80762214276914
"Japan",1.88940100604706
"Jordan",3.17853106465358
"Kazakhstan",2.80036703260658
"Kenya",3.31899931057241
"Kiribati",2.93555249497795
"Kuwait",2.72679129701578
"Kyrgyzstan",2.96876797824144
"Laos",3.5133167213479
"Latvia",2.12180792621092
"Lebanon",2.44508880985889
"Lesotho",3.30598433281951
"Liberia",3.33587379188162
"Lithuania",2.33320561068756
"Luxembourg",2.82223481243424
"Malaysia",2.56134978371076
"Maldives",4.13099213807796
"Malta",2.25988445195116
"Mauritania",3.49708124949242
"Mauritius",2.15401192913936
"Mexico",2.65045280251891
"Monaco",1.79306054584464
"Mongolia",2.64992559736147
"Montenegro",2.20490859803156
"Morocco",2.63516116850422
"Mozambique",3.92684514149455
"Namibia",3.21550147394772
"Nepal",3.53450612112468
"Netherlands",2.59917336123847
"New Zealand",2.26032903873868
"Nicaragua",3.2712854951615
"Niger",4.55217573099298
"Nigeria",3.46159934068234
"Oman",2.69161945579459
"Pakistan",3.7463591013751
"Panama",2.4719246307631
"Paraguay",2.9487503271204
"Peru",2.74876545990077
"Philippines",3.02158125428131
"Poland",2.4469811311787
"Portugal",1.9948730575703
"Qatar",3.37232169270526
"South Korea",2.33941187050375
"Romania",1.97863721625182
"Russia",2.18002875685258
"Rwanda",3.2130927244722
"Saint Lucia",2.98571987082559
"Samoa",2.9436264272285
"Sao Tome and Principe",3.12711180060185
"Saudi Arabia",2.66749359762437
"Senegal",3.58414138983828
"Serbia",1.93165555458751
"Seychelles",2.37316275824358
"Sierra Leone",3.58825225430239
"Singapore",2.3445249859508
"Slovakia",2.29839898531539
"Slovenia",2.01460833211538
"Solomon Islands",3.35085601471601
"South Africa",2.66358519563887
"Spain",1.9964063328243
"Sri Lanka",2.72407740935743
"Suriname",2.35045558699596
"Sweden",2.14290974969122
"Switzerland",2.33980861170259
"Syria",3.08903543927431
"Taiwan",2.31253466452584
"Tajikistan",3.68546261739722
"Republic of Macedonia",2.35258257191987
"Thailand",2.36298622359974
"East Timor",3.67789882454126
"Tonga",3.37518196498318
"Tunisia",2.71976217485369
"Turkey",2.50011264279996
"Uganda",4.18214885155181
"Ukraine",2.15347665058472
"United Arab Emirates",3.08207794490532
"United Kingdom",1.67398609699048
"Tanzania",3.74258177653104
"United States of America",2.22209817711319
"Uruguay",2.30442480908807
"Uzbekistan",3.9243208537657
"Vanuatu",3.16478216449186
"Venezuela",2.43103747485809
"Vietnam",2.61102336816101
"Yemen",3.7681724511329
"Zambia",3.75297870357826
"Zimbabwe",3.6466180048957
