Country,ScalingFactor
"Albania",1.0996849290095
"Algeria",1.19691369459873
"Andorra",0.859646635715573
"Antigua and Barbuda",1.14269388248626
"Argentina",0.972234703811638
"Armenia",1.02105556721406
"Australia",0.915682574206748
"Austria",0.955926827809697
"Azerbaijan",1.21738307850781
"The Bahamas",1.2186264025281
"Bahrain",1.11310422908717
"Bangladesh",1.28640521986459
"Belarus",0.890828977884978
"Belgium",0.81400246030816
"Belize",1.44966867632404
"Benin",1.60494851639548
"Bhutan",1.18366419470238
"Bolivia",1.2338313756703
"Bosnia and Herzegovina",0.994498466124741
"Botswana",1.30730909682587
"Brazil",1.16448394350851
"Brunei",1.12100973765157
"Bulgaria",0.798713655449575
"Burkina Faso",1.57567963507853
"Cabo Verde",1.58158160214514
"Cambodia",1.54105344590264
"Cameroon",1.4949077737827
"Canada",0.906092193186856
"Chile",0.967719614951098
"China",0.999999999999999
"Colombia",1.1165199905638
"Republic of the Congo",1.24705985816351
"Costa Rica",1.11695926971444
"Croatia",0.813052392303822
"Cyprus",0.935345648214057
"Czech Republic",0.890413924512141
"Denmark",0.889632808359466
"Dominican Republic",1.1261200073273
"Ecuador",1.16234669934337
"Egypt",1.32039565880472
"El Salvador",1.29028287106169
"Estonia",0.84293913237751
"Ethiopia",1.67403087231571
"Fiji",1.16915528301986
"Finland",0.819389376549903
"France",0.839028254766112
"Georgia",0.937195007574763
"Germany",0.508474599738834
"Ghana",1.25248722232603
"Greece",0.830690603385162
"Guatemala",1.490784361836
"Guinea",1.51443322488294
"Guyana",1.29807477516843
"Haiti",1.23697801747019
"Honduras",1.34188139150917
"Hong Kong SAR, China",0.955362771298382
"Hungary",0.818905617422592
"Iceland",0.990122365419826
"India",1.15892621446271
"Indonesia",1.11656120728284
"Iran",1.07723568229547
"Iraq",1.50248890876149
"Ireland",0.88680558456235
"Israel",0.90637608666966
"Italy",1.01792653617062
"Jamaica",1.16984255948714
"Japan",0.787250419186274
"Jordan",1.32438794360566
"Kazakhstan",1.16681959691941
"Kenya",1.38291637940517
"Kiribati",1.22314687290748
"Kuwait",1.13616304042324
"Kyrgyzstan",1.2369866576006
"Laos",1.46388196722829
"Latvia",0.884086635921216
"Lebanon",1.01878700410787
"Lesotho",1.37749347200813
"Liberia",1.38994741328401
"Lithuania",0.972169004453151
"Luxembourg",1.1759311718476
"Malaysia",1.06722907654615
"Maldives",1.72124672419915
"Malta",0.941618521646317
"Mauritania",1.45711718728851
"Mauritius",0.897504970474735
"Mexico",1.10435533438288
"Monaco",0.747108560768601
"Mongolia",1.10413566556728
"Montenegro",0.918711915846482
"Morocco",1.09798382021009
"Mozambique",1.63618547562273
"Namibia",1.33979228081155
"Nepal",1.47271088380195
"Netherlands",1.08298890051603
"New Zealand",0.941803766141115
"Nicaragua",1.36303562298396
"Niger",1.89673988791374
"Nigeria",1.44233305861764
"Oman",1.12150810658108
"Pakistan",1.56098295890629
"Panama",1.02996859615129
"Paraguay",1.2286459696335
"Peru",1.14531894162532
"Philippines",1.25899218928388
"Poland",1.01957547132446
"Portugal",0.83119710732096
"Qatar",1.40513403862719
"South Korea",0.974754946043228
"Romania",0.82443217343826
"Russia",0.908345315355242
"Rwanda",1.33878863519675
"Saint Lucia",1.24404994617733
"Samoa",1.22651101134521
"Sao Tome and Principe",1.30296325025077
"Saudi Arabia",1.11145566567682
"Senegal",1.49339224576595
"Serbia",0.804856481078131
"Seychelles",0.988817815934827
"Sierra Leone",1.49510510595933
"Singapore",0.976885410812834
"Slovakia",0.957666243881412
"Slovenia",0.839420138381409
"Solomon Islands",1.39619000613167
"South Africa",1.10982716484953
"Spain",0.831835972010123
"Sri Lanka",1.13503225389893
"Suriname",0.979356494581652
"Sweden",0.892879062371341
"Switzerland",0.97492025487608
"Syria",1.28709809969763
"Taiwan",0.963556110219102
"Tajikistan",1.53560942391551
"Republic of Macedonia",0.980242738299947
"Thailand",0.984577593166559
"East Timor",1.53245784355886
"Tonga",1.40632581874299
"Tunisia",1.13323423952237
"Turkey",1.04171360116665
"Uganda",1.74256202147992
"Ukraine",0.897281937743634
"United Arab Emirates",1.28419914371055
"United Kingdom",0.697494207079365
"Tanzania",1.5594090735546
"United States of America",0.925874240463828
"Uruguay",0.960177003786697
"Uzbekistan",1.63513368906904
"Vanuatu",1.31865923520494
"Venezuela",1.01293228119087
"Vietnam",1.08792640340042
"Yemen",1.57007185463871
"Zambia",1.56374112649094
"Zimbabwe",1.51942416870654
